what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1489255135286
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489255135311
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1489255135321
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489255135394
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1489255135933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489255151114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489256039051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489256040113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489256046045
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489256046074
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489256046245
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489256046286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489256049026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489256220166
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489256220197
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1489256220526
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1489256220713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489256225663
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1489256234821
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1489256235477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489256235508
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1489256235524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1489256235524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489256235821
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1489256235883
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1489256235899
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1489256235899
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1489256235915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489256239087
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489256239915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1489256250869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1489256251854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489256254115
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489256256959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489256259272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489256262585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489256263210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489256266757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489256275462
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1489257207034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489257207484
executed,command,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project.commands.quartus",1489257208465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489257209968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489257210889
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489257211039
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489257211068
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489257211069
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1489257211088
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489257212328
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489257212328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489257214584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489257250146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489257258039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489257260216
