what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1489093646142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489093653168
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093654293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489093671325
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093672988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489093679686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489093691984
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093693188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489093696581
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093701234
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093703079
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093703079
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093704829
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093704829
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093706330
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093743447
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093743447
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093748842
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093767611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489093768486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1489093768518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489093785315
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093786162
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093789017
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093789017
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093790848
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093790910
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093790910
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093791788
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093793446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489093794368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1489093794414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489093798304
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093799495
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093803255
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093803255
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093804836
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093804898
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093804898
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489093807120
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093811783
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489093811877
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489093811877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489093875154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094069123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094069185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094107769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094114645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094130976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094131038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094133179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094134367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094196796
error,log,,,"Cannot add P/Embedded_Two_Modules to the list of segments in P/Embedded_Two_Modules::P/Embedded_Two_Modules_bsp:: as a parent.",1489094207860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094218631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094227701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094228279
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489094228341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489094228372
