what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1489508070265
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1489508070265
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1489508070266
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1489508070266
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1489508070267
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1489508070268
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1489508070269
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1489508070270
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1489508070271
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1489508070271
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1489508070271
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1489508070272
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1489508070273
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1489508070273
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1489508070274
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1489508070274
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1489508070275
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1489508070276
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1489508070276
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1489508070280
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1489508070280
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1489508070282
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1489508070282
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1489508070282
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1489508070283
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1489508070283
os,sysinfo,,,"win32",1489508070285
arch,sysinfo,,,"x86",1489508070285
ws,sysinfo,,,"win32",1489508070285
locale,sysinfo,,,"en_US",1489508070285
processors,sysinfo,,,"8",1489508070285
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1489508070285
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1489508070285
java.specification.name,sysinfo,,,"Java Platform API Specification",1489508070285
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1489508070285
java.specification.version,sysinfo,,,"1.6",1489508070285
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1489508070285
java.version,sysinfo,,,"1.6.0_23",1489508070285
java.vm.info,sysinfo,,,"mixed mode",1489508070285
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1489508070285
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1489508070285
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1489508070285
java.vm.specification.version,sysinfo,,,"1.0",1489508070285
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1489508070285
java.vm.version,sysinfo,,,"19.0-b09",1489508070285
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1489508070643
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1489508071366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489508071589
