what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1489022614530
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1489022614531
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1489022614531
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1489022614532
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1489022614532
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1489022614533
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1489022614534
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1489022614534
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1489022614534
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1489022614535
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1489022614535
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1489022614535
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1489022614536
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1489022614537
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1489022614537
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1489022614538
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1489022614538
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1489022614538
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1489022614539
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1489022614539
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1489022614540
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1489022614540
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1489022614540
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1489022614540
os,sysinfo,,,"win32",1489022614542
arch,sysinfo,,,"x86",1489022614542
ws,sysinfo,,,"win32",1489022614542
locale,sysinfo,,,"en_US",1489022614542
processors,sysinfo,,,"8",1489022614542
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1489022614542
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1489022614542
java.specification.name,sysinfo,,,"Java Platform API Specification",1489022614542
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1489022614542
java.specification.version,sysinfo,,,"1.6",1489022614542
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1489022614542
java.version,sysinfo,,,"1.6.0_23",1489022614542
java.vm.info,sysinfo,,,"mixed mode",1489022614542
